stiffness,damping,payload_kg,sag_max_deg,sag_rms_deg,track_rms_deg,track_max_deg
1000.0,50.0,0.0,0.0741,0.0305,0.8776,2.1574
10000.0,500.0,0.0,0.0074,0.0032,0.8755,2.1471
100000.0,5000.0,0.0,0.0021,0.001,0.8755,2.1468
1000000.0,50000.0,0.0,0.0021,0.0009,0.8755,2.1468
