stiffness,damping,payload_kg,freq_hz,sag_max_deg,sag_rms_deg,track_rms_deg,track_max_deg
100000.0,5000.0,0.0,0.125,0.0021,0.001,0.2083,0.5445
100000.0,5000.0,0.0,0.25,0.0021,0.001,0.4373,1.0844
100000.0,5000.0,0.0,0.5,0.0021,0.001,0.8755,2.1468
